,Delhi,Mumbai,Chennai,Kolkata,mean_price,month,year,merge_col,import_bbl_usd,INR,price_rs_lit_crude,type,Date
0,64.19933333333333,75.43666666666668,66.67066666666668,67.02266666666667,68.33233333333334,June,2017,2017 June,46.56,64.52,18.893403773584904,Petrol,2017-06-30
1,64.00933333333333,73.97099999999999,66.45466666666667,67.26633333333335,67.92533333333333,July,2017,2017 July,47.86,64.46,19.40286540880503,Petrol,2017-07-31
2,67.7709677419355,76.90580645161289,70.20548387096773,70.6083870967742,71.37266129032258,August,2017,2017 August,50.63,63.99,20.37618679245283,Petrol,2017-08-31
3,70.20551724137933,79.31655172413794,72.77137931034483,72.9493103448276,73.81068965517242,September,2017,2017 September,54.52,64.46,22.102888050314466,Petrol,2017-09-30
4,68.74225806451614,76.50516129032258,71.23354838709676,71.51677419354839,71.99943548387095,October,2017,2017 October,56.06,65.07,22.942290566037734,Petrol,2017-10-31
5,69.53172413793104,76.66103448275862,72.0648275862069,72.28793103448275,72.63637931034484,November,2017,2017 November,61.32,64.85,25.010075471698112,Petrol,2017-11-30
6,69.35166666666667,77.013,71.87500000000001,72.11066666666667,72.58758333333331,December,2017,2017 December,62.29,64.27,25.178479874213835,Petrol,2017-12-31
7,71.3751612903226,79.25741935483869,74.00612903225809,74.09967741935482,74.68459677419354,January,2018,2018 January,67.06,63.65,26.845088050314462,Petrol,2018-01-31
8,72.53962962962963,80.40851851851852,75.23185185185186,75.25037037037038,75.8575925925926,February,2018,2018 February,63.54,64.44,25.751683018867922,Petrol,2018-02-28
9,72.44290322580646,80.31258064516128,75.12870967741935,75.17612903225809,75.76508064516129,March,2018,2018 March,63.8,65.05,26.101823899371066,Petrol,2018-03-31
10,74.17172413793107,82.02310344827585,76.94931034482758,76.8748275862069,77.50474137931036,April,2018,2018 April,69.22,65.7,28.60222641509434,Petrol,2018-04-30
11,75.92225806451611,83.75806451612904,78.79161290322583,78.59548387096773,79.2668548387097,May,2018,2018 May,75.25,67.55,31.96941823899371,Petrol,2018-05-31
12,76.56137931034483,84.30793103448275,79.4641379310345,79.22724137931036,79.8901724137931,June,2018,2018 June,73.83,67.79,31.477583018867925,Petrol,2018-06-30
13,76.30799999999998,83.718,79.223,79.04899999999999,79.57450000000003,July,2018,2018 July,73.47,68.72,31.75382641509434,Petrol,2018-07-31
14,77.33354838709678,84.76419354838706,80.33645161290323,80.26903225806453,80.6758064516129,August,2018,2018 August,72.53,69.64,31.767227672955975,Petrol,2018-08-31
15,81.3558620689655,88.73689655172413,84.56034482758622,83.59620689655175,84.56232758620689,September,2018,2018 September,77.88,72.23,35.37907169811321,Petrol,2018-09-30
16,81.92387096774195,87.63709677419354,85.14870967741936,83.75935483870968,84.61725806451612,October,2018,2018 October,80.08,73.62,37.07855094339622,Petrol,2018-10-31
17,76.73965517241379,82.26,79.69103448275861,78.68137931034484,79.3430172413793,November,2018,2018 November,65.4,71.75,29.512264150943402,Petrol,2018-11-30
18,70.47354838709678,76.07903225806452,73.11677419354838,72.58129032258066,73.06266129032258,December,2018,2018 December,57.77,70.82,25.731266666666663,Petrol,2018-12-31
19,70.06133333333334,75.70233333333334,72.715,72.17266666666663,72.66283333333335,January,2019,2019 January,59.27,70.77,26.380741509433964,Petrol,2019-01-31
20,70.8051851851852,76.44148148148149,73.5025925925926,72.91037037037037,73.4149074074074,February,2019,2019 February,64.53,71.23,28.908628301886797,Petrol,2019-02-28
21,72.53903225806451,78.1632258064516,75.33516129032257,74.61967741935483,75.1642741935484,March,2019,2019 March,66.74,69.51,29.176713207547166,Petrol,2019-03-31
22,72.93034482758621,78.5003448275862,75.69310344827588,74.9503448275862,75.5185344827586,April,2019,2019 April,71.0,69.41,30.99440251572327,Petrol,2019-04-30
23,71.9441935483871,77.5458064516129,74.6793548387097,73.99967741935482,74.54225806451615,May,2019,2019 May,70.01,69.81,30.73835283018868,Petrol,2019-05-31
24,70.41827586206898,76.11034482758622,73.15206896551727,72.66724137931035,73.08698275862072,June,2019,2019 June,62.37,69.43,27.234900000000003,Petrol,2019-06-30
25,72.7122580645161,78.33064516129033,75.50645161290323,75.08193548387096,75.40782258064517,July,2019,2019 July,63.63,68.75,27.51297169811321,Petrol,2019-07-31
26,72.097,77.75366666666667,74.88966666666666,74.79233333333333,74.88316666666668,August,2019,2019 August,59.35,71.17,26.565657232704407,Petrol,2019-08-31
27,72.71433333333334,78.38666666666667,75.56333333333333,75.42466666666665,75.52225000000001,September,2019,2019 September,61.72,71.4,27.71577358490566,Petrol,2019-09-30
28,73.43566666666666,79.04666666666667,76.26566666666663,76.0806666666667,76.20716666666665,October,2019,2019 October,59.7,71.04,26.67350943396227,Petrol,2019-10-31
29,73.68633333333335,79.35233333333333,76.58933333333334,76.38333333333334,76.50283333333331,November,2019,2019 November,62.53,71.47,28.10703836477988,Petrol,2019-11-30
30,74.81033333333336,80.469,77.7773333333333,77.47799999999998,77.63366666666666,December,2019,2019 December,65.5,71.18,29.322578616352207,Petrol,2019-12-31
31,75.05833333333334,80.65666666666668,77.97700000000002,77.659,77.83775,January,2020,2020 January,64.31,71.29,28.834338993710695,Petrol,2020-01-31
32,72.22655172413796,77.8862068965517,75.03310344827585,74.87724137931035,75.00577586206899,February,2020,2020 February,54.63,71.51,24.569756603773587,Petrol,2020-02-29
33,70.1713333333333,75.87433333333334,72.89166666666667,72.863,72.95008333333334,March,2020,2020 March,33.36,74.53,15.637237735849057,Petrol,2020-03-31
34,69.58999999999997,76.30999999999996,72.27999999999999,73.29999999999998,72.86999999999995,April,2020,2020 April,19.9,76.22,9.539484276729558,Petrol,2020-04-30
35,71.03733333333335,76.30999999999996,75.21399999999997,73.29999999999998,73.96533333333332,May,2020,2020 May,30.61,75.67,14.567664779874214,Petrol,2020-05-31
36,76.10333333333332,83.00999999999999,79.81633333333336,77.95066666666665,79.22008333333335,June,2020,2020 June,40.63,75.72,19.34907924528302,Petrol,2020-06-30
37,80.43000000000002,87.19000000000004,83.63000000000007,82.09999999999995,83.33750000000005,July,2020,2020 July,43.35,74.92,20.426301886792455,Petrol,2020-07-31
38,80.94935483870971,87.66322580645159,84.06645161290322,82.51774193548383,83.7991935483871,August,2020,2020 August,44.19,74.6,20.733169811320753,Petrol,2020-08-31
39,81.56344827586207,88.22793103448272,84.58413793103449,83.07482758620691,84.36258620689658,September,2020,2020 September,41.35,73.55,19.127625786163524,Petrol,2020-09-30
40,81.05999999999996,87.73999999999994,84.14,82.59000000000002,83.88250000000001,October,2020,2020 October,40.66,73.54,18.8058893081761,Petrol,2020-10-31
41,81.31931034482758,88.0044827586207,84.38206896551723,82.85862068965517,84.14112068965517,November,2020,2020 November,43.34,74.22,20.23078490566038,Petrol,2020-11-30
42,83.53677419354841,90.17290322580646,86.35806451612909,85.02322580645165,86.27274193548386,December,2020,2020 December,49.84,73.63,23.07999496855346,Petrol,2020-12-31
43,84.91400000000006,91.51866666666668,87.59000000000005,86.35633333333337,87.59474999999998,January,2021,2021 January,54.79,73.12,25.196508176100632,Petrol,2021-01-31
44,53.841333333333324,59.214000000000006,56.714666666666666,55.99733333333333,56.441833333333335,June,2017,2017 June,46.56,64.52,18.893403773584904,Diesel,2017-06-30
45,54.56333333333334,58.70466666666665,57.502,57.159000000000006,56.98224999999999,July,2017,2017 July,47.86,64.46,19.40286540880503,Diesel,2017-07-31
46,56.85387096774192,60.389677419354804,59.84580645161289,59.50548387096775,59.14870967741935,August,2017,2017 August,50.63,63.99,20.37618679245283,Diesel,2017-08-31
47,58.34758620689656,61.97965517241378,61.44758620689654,61.004482758620675,60.694827586206884,September,2017,2017 September,54.52,64.46,22.102888050314466,Diesel,2017-09-30
48,57.277096774193545,60.16612903225807,60.30419354838709,59.93709677419354,59.421129032258065,October,2017,2017 October,56.06,65.07,22.942290566037734,Diesel,2017-10-31
49,58.255172413793076,60.88482758620692,61.351034482758635,60.91517241379311,60.351551724137934,November,2017,2017 November,61.32,64.85,25.010075471698112,Diesel,2017-11-30
50,58.71366666666667,61.80533333333332,61.84166666666666,61.373666666666665,60.93358333333334,December,2017,2017 December,62.29,64.27,25.178479874213835,Diesel,2017-12-31
51,61.89483870967743,65.85451612903226,65.24645161290323,64.55709677419355,64.38822580645162,January,2018,2018 January,67.06,63.65,26.845088050314462,Diesel,2018-01-31
52,63.23148148148149,67.33777777777777,66.67592592592594,65.90444444444444,65.78740740740739,February,2018,2018 February,63.54,64.44,25.751683018867922,Diesel,2018-02-28
53,63.06064516129034,67.15516129032258,66.49387096774196,65.75064516129032,65.6150806451613,March,2018,2018 March,63.8,65.05,26.101823899371066,Diesel,2018-03-31
54,65.27206896551726,69.50344827586208,68.85965517241377,67.96724137931037,67.90060344827585,April,2018,2018 April,69.22,65.7,28.60222641509434,Diesel,2018-04-30
55,67.14258064516129,71.48903225806454,70.86032258064513,69.75419354838708,69.81153225806453,May,2018,2018 May,75.25,67.55,31.96941823899371,Diesel,2018-05-31
56,68.00310344827588,72.33758620689656,71.78379310344826,70.55310344827586,70.66939655172413,June,2018,2018 June,73.83,67.79,31.477583018867925,Diesel,2018-06-30
57,67.96666666666665,72.13233333333334,71.75833333333334,70.571,70.60708333333335,July,2018,2018 July,73.47,68.72,31.75382641509434,Diesel,2018-07-31
58,68.8658064516129,73.11032258064515,72.74290322580646,71.6916129032258,71.60266129032259,August,2018,2018 August,72.53,69.64,31.767227672955975,Diesel,2018-08-31
59,73.09413793103447,77.5996551724138,77.2665517241379,75.32344827586206,75.82094827586205,September,2018,2018 September,77.88,72.23,35.37907169811321,Diesel,2018-09-30
60,74.69580645161292,78.45870967741936,78.98,76.5458064516129,77.17008064516129,October,2018,2018 October,80.08,73.62,37.07855094339622,Diesel,2018-10-31
61,71.50586206896551,74.9106896551724,75.56689655172413,73.36275862068966,73.83655172413792,November,2018,2018 November,65.4,71.75,29.512264150943402,Diesel,2018-11-30
62,64.7348387096774,67.74193548387096,68.34032258064516,66.51387096774194,66.83274193548387,December,2018,2018 December,57.77,70.82,25.731266666666663,Diesel,2018-12-31
63,64.32100000000001,67.33099999999999,67.92699999999999,66.09433333333335,66.41833333333334,January,2019,2019 January,59.27,70.77,26.380741509433964,Diesel,2019-01-31
64,65.97740740740741,69.09296296296296,69.70222222222222,67.76000000000002,68.13314814814815,February,2019,2019 February,64.53,71.23,28.908628301886797,Diesel,2019-02-28
65,67.01322580645162,70.19806451612904,70.81709677419354,68.80225806451612,69.20766129032256,March,2019,2019 March,66.74,69.51,29.176713207547166,Diesel,2019-03-31
66,66.31344827586207,69.40517241379311,70.01758620689655,68.05344827586208,68.44741379310348,April,2019,2019 April,71.0,69.41,30.99440251572327,Diesel,2019-04-30
67,66.3841935483871,69.54354838709678,70.15806451612903,68.13548387096775,68.55532258064517,May,2019,2019 May,70.01,69.81,30.73835283018868,Diesel,2019-05-31
68,64.42689655172413,67.55172413793103,68.14896551724138,66.34379310344828,66.61784482758623,June,2019,2019 June,62.37,69.43,27.234900000000003,Diesel,2019-06-30
69,65.96096774193549,69.13193548387099,69.67451612903228,67.99741935483868,68.19120967741931,July,2019,2019 July,63.63,68.75,27.51297169811321,Diesel,2019-07-31
70,65.47733333333332,68.64166666666667,69.17266666666664,67.81633333333335,67.77700000000002,August,2019,2019 August,59.35,71.17,26.565657232704407,Diesel,2019-08-31
71,65.92733333333332,69.14833333333333,69.68166666666666,68.33500000000001,68.27308333333333,September,2019,2019 September,61.72,71.4,27.71577358490566,Diesel,2019-09-30
72,66.46166666666666,69.66299999999998,70.20166666666668,68.82166666666666,68.78699999999998,October,2019,2019 October,59.7,71.04,26.67350943396227,Diesel,2019-10-31
73,65.79333333333332,69.00733333333332,69.53933333333332,68.20133333333337,68.1353333333333,November,2019,2019 November,62.53,71.47,28.10703836477988,Diesel,2019-11-30
74,66.42966666666665,69.68599999999999,70.22499999999997,68.84133333333335,68.79549999999999,December,2019,2019 December,65.5,71.18,29.322578616352207,Diesel,2019-12-31
75,68.19033333333331,71.50066666666665,72.05400000000002,70.556,70.57525000000001,January,2020,2020 January,64.31,71.29,28.834338993710695,Diesel,2020-01-31
76,65.07482758620692,68.19862068965516,68.72448275862068,67.41034482758621,67.35206896551726,February,2020,2020 February,54.63,71.51,24.569756603773587,Diesel,2020-02-29
77,62.85633333333331,65.80900000000001,66.31566666666669,65.1863333333333,65.04183333333332,March,2020,2020 March,33.36,74.53,15.637237735849057,Diesel,2020-03-31
78,62.28999999999998,66.21000000000002,65.71000000000002,65.61999999999995,64.9575,April,2020,2020 April,19.9,76.22,9.539484276729558,Diesel,2020-04-30
79,68.44333333333337,66.21000000000002,67.96900000000002,65.61999999999995,67.0605833333333,May,2020,2020 May,30.61,75.67,14.567664779874214,Diesel,2020-05-31
80,74.91300000000003,73.48166666666665,72.93499999999999,70.59166666666667,72.98033333333333,June,2020,2020 June,40.63,75.72,19.34907924528302,Diesel,2020-06-30
81,80.94933333333333,79.45566666666667,78.27333333333333,76.34666666666665,78.75625000000001,July,2020,2020 July,43.35,74.92,20.426301886792455,Diesel,2020-07-31
82,73.55999999999996,80.10999999999999,78.85999999999999,77.05999999999996,77.39750000000002,August,2020,2020 August,44.19,74.6,20.733169811320753,Diesel,2020-08-31
83,72.25172413793102,78.73655172413793,77.62655172413794,75.75862068965516,76.09336206896552,September,2020,2020 September,41.35,73.55,19.127625786163524,Diesel,2020-09-30
84,70.46225806451613,76.86225806451611,75.95193548387097,73.99193548387095,74.31709677419359,October,2020,2020 October,40.66,73.54,18.8058893081761,Diesel,2020-10-31
85,70.87689655172414,77.31379310344825,76.35482758620692,74.42172413793104,74.7418103448276,November,2020,2020 November,43.34,74.22,20.23078490566038,Diesel,2020-11-30
86,73.6987096774193,80.32838709677424,79.04838709677422,77.2687096774194,77.58604838709677,December,2020,2020 December,49.84,73.63,23.07999496855346,Diesel,2020-12-31
87,75.0896666666667,81.8196666666667,80.3866666666667,78.67933333333333,78.9938333333333,January,2021,2021 January,54.79,73.12,25.196508176100632,Diesel,2021-01-31
